School|Prof Name|Course Name|Course ID
SOB|Mark Chong Yiew Kim|Story Craft for Business in Emerging markets|COMM320
SOB|Janice Armstrong|Story Craft for Business in Emerging markets|COMM320
SOB|Yeo Su Lin|Strategic Communication in Asia|COMM334
SOB|Tracy Loh|Communication Strategies in the Digital Age|COMM346
SOB|Aurobindo Ghosh|Finance|FNCE101
SOB|David Ding|Finance|FNCE101
SOB|Jeremy Goh|Finance|FNCE101
SOB|Wang Wei Mun|Finance|FNCE101
SOB|Ke Jinghao|Finance|FNCE101
SOB|Ekkehart Boehmer|Financial Instruments, Institutions and Markets|FNCE102
SOB|Li Weikai|Financial Instruments, Institutions and Markets|FNCE102
SOB|Karen Gan|Financial Instruments, Institutions and Markets|FNCE102
SOB|David Ding|Finance for Law (for LLB)|FNCE103
SOB|Clemens Otto|Corporate Finance|FNCE201
SOB|John Martin Sequeira|Corporate Finance|FNCE201
SOB|Chiraphol New Chiyachantana|Analysis of Equity Investment|FNCE203
SOB|Gloria Yu|International Finance|FNCE210
SOB|Liang Hao|Entrepreneurial Finance|FNCE213
SOB|Daniel A. Stone|Consumer Banking|FNCE225
SOB|Daniel A. Stone|Corporate Banking|FNCE229
SOB|Francis Koh Cher Chiew|Real Estate Investments and Finance|FNCE231
SOB|Ku Swee Yong|Real Estate Investments and Finance|FNCE231
SOB|Ang Sock Tiang|Real Estate Valuation and Taxation|FNCE234
SOB|Tan Eng Khiam|Real Estate Development|FNCE235
SOB|Tu Jun|Analysis of Derivative Securities|FNCE305
SOB|Jayesh Avlani|Trade Finance|FNCE310
SOB|Cheng Yam San|Trade Finance|FNCE310
SOB|Ang Ser Keng|Mergers & Acquisitions|FNCE311
SOB|Liang Hao|Sustainable Finance|FNCE314
SOB|Ting Hian Ann|Calculus|MATH001
SOB|Christopher|Calculus|MATH001
SOB|Neo Kok Beng|Technology & World Change|MGMT002
SOB|Pang Eng Fong|Technology & World Change|MGMT002
SOB|Rajah Kumar|Technology & World Change|MGMT002
SOB|Andrew Min Han Chin|Business, Government & Society|MGMT003
SOB|Chan Kay Min|Business, Government & Society|MGMT003
SOB|Elizabeth Su|Business, Government & Society|MGMT003
SOB|Er Jwee Ping|Business, Government & Society|MGMT003
SOB|Francis Pavri|Business, Government & Society|MGMT003
SOB|Gilbert Tan Yip Wei|Business, Government & Society|MGMT003
SOB|Joergen Oerstroem Moeller|Business, Government & Society|MGMT003
SOB|Loo Khee Sheng|Business, Government & Society|MGMT003
SOB|Alan Tea|Creative Thinking|MGMT004
SOB|Cindy Ong|Creative Thinking|MGMT004
SOB|Goh Ban Eng|Creative Thinking|MGMT004
SOB|Khoo Hock Seng|Creative Thinking|MGMT004
SOB|Lim Boon Chye|Creative Thinking|MGMT004
SOB|Don Chen Jiaqing|Managing in a VUCA context|MGMT005
SOB|Venkat|Managing in a VUCA context|MGMT005
SOB|Whitney Zhang|Managing in a VUCA context|MGMT005
SOB|Abhijith Geethakrishna Acharya|Strategy|MGMT102
